% 1. Title: arff file created from Comments_WebOutput-Corrected-Java_(only comments and class).csv
% 2 clases
% null-directive and semi-directive instances were taken as directive class

@RELATION "1.1_Java_2Classes.arff"

@ATTRIBUTE text string
@ATTRIBUTE comment__class {directive,non-directive}

@DATA
" Flushes the stream.  ",non-directive
"If the stream has saved any characters from the\n various write() methods in a buffer, write them immediately to their\n intended destination.  ",non-directive
"Then, if that destination is another character or\n byte stream, flush it.  ",non-directive
"Thus one flush() invocation will flush all the\n buffers in a chain of Writers and OutputStreams.\n \n",directive
" <p> If the intended destination of this stream is an abstraction provided\n by the underlying operating system, for example a file, then flushing the\n stream guarantees only that bytes previously written to the stream are\n passed to the operating system for writing; it does not guarantee that\n they are actually written to a physical device such as a disk drive.\n\n ",directive
" Specifies that all characters <i>c</i> in the range\n <code>low&nbsp;&lt;=&nbsp;<i>c</i>&nbsp;&lt;=&nbsp;high</code>\n are \"ordinary\" in this tokenizer. ",non-directive
"See the\n <code>ordinaryChar</code> method for more information on a\n character being ordinary.\n\n ",directive
"@param   low   the low end of the range.\n ",non-directive
"@param   hi    the high end of the range.\n ",non-directive
"@see     java.io.StreamTokenizer#ordinaryChar(int)\n",non-directive
" Reads characters into an array.  ",non-directive
"This method will block until some input\n is available, an I/O error occurs, or the end of the stream is reached.\n\n ",directive
"@param       cbuf  Destination buffer\n\n ",non-directive
"@return      The number of characters read, or -1 \n              if the end of the stream\n              has been reached\n\n ",directive
" Tells whether this stream is ready to be read.\n\n ",non-directive
"@return True if the next read() is guaranteed not to block for input,\n false otherwise.  ",directive
"Note that returning false does not guarantee that the\n next read will block.\n\n ",directive
" Reads up to <code>b.length</code> bytes of data from this file \n into an array of bytes. ",non-directive
"This method blocks until at least one byte \n of input is available. \n ",directive
"<p>\n Although <code>RandomAccessFile</code> is not a subclass of \n <code>InputStream</code>, this method behaves in exactly the \n same way as the {@link InputStream#read(byte[])} method of \n <code>InputStream</code>.\n\n ",directive
"@param      b   the buffer into which the data is read.\n ",non-directive
"@return     the total number of bytes read into the buffer, or\n             <code>-1</code> if there is no more data because the end of\n             this file has been reached.\n ",directive
" Writes the specified byte to this file. ",non-directive
"The write starts at \n the current file pointer.\n\n ",non-directive
"@param      b   the <code>byte</code> to be written.\n ",non-directive
" Reads the next line of text from this file.  ",non-directive
"This method successively\n reads bytes from the file, starting at the current file pointer, \n until it reaches a line terminator or the end\n of the file.  ",non-directive
"Each byte is converted into a character by taking the\n byte's value for the lower eight bits of the character and setting the\n high eight bits of the character to zero.  ",non-directive
"This method does not,\n therefore, support the full Unicode character set.\n\n ",directive
"<p> A line of text is terminated by a carriage-return character\n (<code>'&#92;r'</code>), a newline character (<code>'&#92;n'</code>), a\n carriage-return character immediately followed by a newline character,\n or the end of the file.  ",directive
"Line-terminating characters are discarded and\n are not included as part of the string returned.\n\n ",directive
"<p> This method blocks until a newline character is read, a carriage\n return and the byte following it are read (to see if it is a newline),\n the end of the file is reached, or an exception is thrown.\n\n ",directive
"@return     the next line of text from this file, or null if end\n             of file is encountered before even one byte is read.\n ",directive
" Reads in a string from this file. ",non-directive
"The string has been encoded \n using a\n <a href=\"DataInput.html#modified-utf-8\">modified UTF-8</a>\n format. \n ",directive
"<p>\n The first two bytes are read, starting from the current file \n pointer, as if by \n <code>readUnsignedShort</code>. ",directive
