% first Apache(163 lines) then is Java(237 lines) and lastly is JFace(191 lines)
% 2 clases
% null-directive and semi-directive instances were taken as directive class

@RELATION "Apache_Java_JFace (10% of instances).arff"

@ATTRIBUTE text string
@ATTRIBUTE comment__class {directive,non-directive}

@DATA
" Create an {@link IndexedCollection} for a unique index.\n\n ",non-directive
"@param <K> the index object type.\n ",non-directive
"@param <C> the collection type.\n ",non-directive
"@param coll the decorated {@link Collection}.\n ",non-directive
"@param keyTransformer the {@link Transformer} for generating index keys.\n ",non-directive
"@return the created {@link IndexedCollection}.\n",non-directive
" Get the element associated with the given key.\n ",non-directive
"@param key to look up\n ",non-directive
"@return element found\n",non-directive
" Create a {@link IndexedCollection} for a unique index.\n\n ",non-directive
"@param coll the decorated {@link Collection}.\n ",non-directive
"@param keyTransformer the {@link Transformer} for generating index keys.\n",non-directive
" Returns the sum of the given lists.  ",non-directive
"This is their intersection\n subtracted from their union.\n\n ",non-directive
"@param list1  the first list \n ",non-directive
"@param list2  the second list\n ",non-directive
"@return  a new list containing the sum of those lists\n ",non-directive
" Returns a new list containing the second list appended to the\n first list.  ",non-directive
"The {@link List#addAll(Collection)} operation is\n used to append the two given lists into a new list.\n\n ",non-directive
"@param list1  the first list \n ",non-directive
"@param list2  the second list\n ",non-directive
"@return  a new list containing the union of those lists\n ",non-directive
" Generates a hash code using the algorithm specified in \n {@link java.util.List#hashCode()}.\n ",non-directive
"<p>\n This method is useful for implementing <code>List</code> when you cannot\n extend AbstractList. ",directive
"The method takes Collection instances to enable other\n collection types to use the List implementation algorithm.\n \n",non-directive
"@see java.util.List#hashCode()\n ",non-directive
"@param list  the list to generate the hashCode for, may be null\n ",directive
"@return the hash code\n",non-directive
" Finds the first index in the given List which matches the given predicate.\n ",non-directive
"<p>\n If the input List or predicate is null, or no element of the List\n matches the predicate, -1 is returned.\n\n ",non-directive
"@param list the List to search, may be null\n ",directive
"@param predicate  the predicate to use, may be null\n ",directive
"@return the first index of an Object in the List which matches the predicate or -1 if none could be found\n",non-directive
" Interpolate key names to handle ${key} stuff\n\n ",non-directive
"@param base string to interpolate\n ",non-directive
"@return returns the key name with the ${key} substituted\n",non-directive
" Sets the property value for including other properties files.\n ",non-directive
"By default it is \"include\".\n\n ",directive
"@param inc  the property name which includes another property, empty converted to null\n",non-directive
" Add a property to the configuration. ",non-directive
"If it already\n exists then the value stated here will be added\n to the configuration entry. ",directive
"For example, if\n\n <code>resource.loader = file</code>\n\n is already present in the configuration and you\n\n <code>addProperty(\"resource.loader\", \"classpath\")</code>\n\n Then you will end up with a Vector like the\n following:\n\n <code>[\"file\", \"classpath\"]</code>\n\n ",non-directive
"@param key  the key to add\n ",non-directive
"@param value  the value to add\n",non-directive
" Combines an existing Hashtable with this Hashtable.\n ",non-directive
"<p>\n Warning: It will overwrite previous entries without warning.\n\n ",directive
"@param props  the properties to combine\n",non-directive
" Get the list of the keys contained in the configuration\n repository that match the specified prefix.\n\n ",non-directive
"@param prefix  the prefix to match\n ",non-directive
"@return an Iterator of keys that match the prefix\n",non-directive
" Create an ExtendedProperties object that is a subset\n of this one. ",non-directive
"Take into account duplicate keys\n by using the setProperty() in ExtendedProperties.\n\n ",directive
"@param prefix  the prefix to get a subset for\n ",non-directive
"@return a new independent ExtendedProperties\n",non-directive
" Get a string associated with the given configuration key.\n\n ",non-directive
"@param key The configuration key.\n ",non-directive
"@return The associated string.\n ",non-directive
" Get a list of properties associated with the given\n configuration key.\n\n ",non-directive
"@param key The configuration key.\n ",non-directive
"@return The associated properties if key is found.\n ",non-directive
" Get a list of properties associated with the given\n configuration key.\n\n ",non-directive
"@param key The configuration key.\n ",non-directive
"@return The associated properties if key is found.\n ",non-directive
" Get an array of strings associated with the given configuration\n key.\n\n ",non-directive
"@param key The configuration key.\n ",non-directive
"@return The associated string array if key is found.\n ",non-directive
" Get a Vector of strings associated with the given configuration key.\n ",non-directive
"<p>\n The list is a copy of the internal data of this object, and as\n such you may alter it freely.\n\n ",directive
"@param key The configuration key.\n ",non-directive
"@param defaultValue The default value.\n ",non-directive
"@return The associated Vector.\n ",non-directive
" Get a List of strings associated with the given configuration key.\n ",non-directive
"<p>\n The list is a copy of the internal data of this object, and as\n such you may alter it freely.\n\n ",directive
"@param key The configuration key.\n ",non-directive
"@return The associated List object.\n ",non-directive
"@since Commons Collections 3.2\n",non-directive
" Get a List of strings associated with the given configuration key.\n ",non-directive
