text,comment__class
" Creates a browser information control with the given shell as parent.\n\n ",non-directive
"@param parent the parent shell\n ",non-directive
"@param symbolicFontName the symbolic name of the font used for size computations\n ",non-directive
"@param statusFieldText the text to be used in the optional status field\n            or <code>null</code> if the status field should be hidden\n ",null-directive
"@since 3.4\n",non-directive
" Computes the substitution for the given character and if necessary\n subsequent characters. ",non-directive
"Implementation should use <code>nextChar</code>\n to read subsequent characters.\n\n ",semi-directive
"@param c the character to be substituted\n ",non-directive
"@return the substitution for <code>c</code>\n ",non-directive
" Returns <code>true</code> if diff information is being displayed, <code>false</code> otherwise.\n\n ",non-directive
"@return <code>true</code> if diff information is being displayed, <code>false</code> otherwise\n ",non-directive
"@since 3.3\n",non-directive
" Notifies that one or more attributes of an instance of\n <code>IScheme</code> have changed. ",non-directive
"Specific details are described in\n the <code>SchemeEvent</code>.\n \n",non-directive
"@param schemeEvent\n            the scheme event. ",non-directive
"Guaranteed not to be <code>null</code>.\n",null-directive
" <p>\n Returns a list of prefixes for the current sequence. ",non-directive
"A prefix is any\n leading subsequence in a <code>TriggerSequence</code>. ",non-directive
"A prefix is\n also an instance of <code>TriggerSequence</code>.\n ",non-directive
"</p>\n <p>\n For example, consider a trigger sequence that consists of four triggers:\n A, B, C and D. ",non-directive
"The prefixes would be \"\", \"A\", \"A B\", and \"A B C\". ",non-directive
"The\n list of prefixes must always be the same as the size of the trigger list.\n ",directive
"</p>\n \n ",non-directive
"@return The array of possible prefixes for this sequence. ",non-directive
"This array must\n         not be <code>null</code>, but may be empty. ",directive
"It must only\n         contains instances of <code>TriggerSequence</code>.\n",directive
" Returns the instance of the scheme that changed.\n \n",non-directive
"@return the instance of the scheme that changed. ",non-directive
"Guaranteed not to be\n         <code>null</code>.\n",null-directive
" Makes this scheme become undefined. ",non-directive
"This has the side effect of changing\n the name, description and parent identifier to <code>null</code>.\n ",directive
"Notification is sent to all listeners.\n",non-directive
" <p>\n Notifies this manager that the context manager has changed. ",non-directive
"This method\n is intended for internal use only.\n ",semi-directive
"</p>\n <p>\n This method completes in <code>O(1)</code>.\n ",non-directive
"</p>\n",non-directive
" <p>\n Computes the bindings for the current state of the application, but\n disregarding the current contexts. ",non-directive
"This can be useful when trying to\n display all the possible bindings.\n ",semi-directive
"</p>\n <p>\n This method completes in <code>O(n)</code>, where <code>n</code> is\n the number of bindings.\n ",non-directive
"</p>\n \n ",non-directive
"@return A map of trigger (<code>TriggerSequence</code>) to bindings (\n         <code>Collection</code> containing <code>Binding</code>).\n         ",non-directive
"This map may be empty, but it is never <code>null</code>.\n",null-directive
" <p>\n Gets the currently active scheme.\n ",non-directive
"</p>\n <p>\n This method completes in <code>O(1)</code>.\n ",non-directive
"</p>\n \n ",non-directive
"@return The active scheme; may be <code>null</code> if there is no\n         active scheme. ",null-directive
"If a scheme is returned, it is guaranteed to be\n         defined.\n",non-directive
"@param command\n ",non-directive
"@return\n 		a trigger sequence, or <code>null</code>\n ",null-directive
"@since 3.4\n",non-directive
" <p>\n Returns the set of all bindings managed by this class.\n ",non-directive
"</p>\n <p>\n This method completes in <code>O(1)</code>.\n ",non-directive
"</p>\n \n ",non-directive
"@return The array of all bindings. ",non-directive
"This value may be <code>null</code>\n         and it may be empty.\n",null-directive
" <p>\n Gets the scheme with the given identifier. ",non-directive
"If the scheme does not already\n exist, then a new (undefined) scheme is created with that identifier.\n ",directive
"This guarantees that schemes will remain unique.\n ",directive
"</p>\n <p>\n This method completes in amortized <code>O(1)</code>.\n ",non-directive
"</p>\n \n ",non-directive
"@param schemeId\n            The identifier for the scheme to retrieve; must not be\n            <code>null</code>.\n ",null-directive
"@return A scheme with the given identifier.\n",non-directive
" <p>\n Notifies this manager that a scheme has changed. ",non-directive
"This method is intended\n for internal use only.\n ",semi-directive
"</p>\n <p>\n This method calls out to listeners, and so the time it takes to complete\n is dependent on third-party code.\n ",semi-directive
"</p>\n \n ",non-directive
"@param schemeEvent\n            An event describing the change in the scheme.\n",non-directive
" Provides the current conflicts in the keybindings for the given \n TriggerSequence as a {@link Collection} of {@link Binding}\n \n ",non-directive
"@param sequence The sequence for which conflict info is required\n \n ",non-directive
"@return Collection of KeyBinding. ",non-directive
"If no conflicts,\n         then returns a <code>null</code>\n ",null-directive
"@since 3.5\n",non-directive
" Returns the parameterized command to which this binding applies. ",non-directive
"If the\n identifier is <code>null</code>, then this binding is \"unbinding\" an\n existing binding.\n \n",directive
"@return The fully-parameterized command; may be <code>null</code>.\n",null-directive
" Removes the given listener from this key sequence widget.\n \n",non-directive
"@param listener\n            The listener to be removed; must not be <code>null</code>.\n ",null-directive
"@since 3.2\n",non-directive
" Given an SWT accelerator value, provide the corresponding key stroke.\n \n",non-directive
"@param accelerator\n            The accelerator to convert; should be a valid SWT accelerator\n            value.\n ",non-directive
"@return The equivalent key stroke; never <code>null</code>.\n",null-directive
" <p>\n Converts the given event into an SWT accelerator value -- considering the\n modified character with the shift modifier. ",non-directive
"This is the third accelerator\n value that should be checked when processing incoming key events.\n ",directive
"</p>\n <p>\n For example, on a standard US keyboard, \"Ctrl+Shift+5\" would be viewed as\n \"Ctrl+Shift+%\".\n ",non-directive
"</p>\n \n ",non-directive
"@param event\n            The event to be converted; must not be <code>null</code>.\n ",null-directive
"@return The combination of the state mask and the unmodified character.\n",non-directive
" Looks up a single modifier key by its formal name, and returns the integer\n representation for this modifier key\n \n ",non-directive
"@param name\n            The formal name of the modifier key to look-up; must not be\n            <code>null</code>.\n ",null-directive
"@return The integer representation of this key. ",non-directive
"If the modifier key\n         cannot be found, then this method returns <code>0</code>.\n",non-directive
" Looks up a key value, and returns the formal string representation for\n that key\n \n ",non-directive
"@param key\n            The key to look-up.\n ",non-directive
"@return The formal string representation of this key. ",non-directive
"If this key cannot\n         be found, then it is simply the character corresponding to that\n         integer value.\n",non-directive
" Gets an instance of <code>KeySequence</code>.\n \n",non-directive
"@return a key sequence. ",non-directive
"This key sequence will have no key strokes.\n         ",non-directive
"Guaranteed not to be <code>null</code>.\n",null-directive
" Creates an instance of <code>KeySequence</code> given a list of key\n strokes.\n \n",non-directive
"@param keyStrokes\n            the list of key strokes. ",non-directive
"This list may be empty, but it must\n            not be <code>null</code>. ",null-directive
"If this list is not empty, it\n            must only contain instances of <code>KeyStroke</code>.\n ",directive
"@return a key sequence. ",non-directive
"Guaranteed not to be <code>null</code>.\n",null-directive
" Creates an instance of <code>KeySequence</code> by parsing a given\n formal string representation.\n \n",non-directive
"@param string\n            the formal string representation to parse.\n ",non-directive
"@return a key sequence. ",non-directive
"Guaranteed not to be <code>null</code>.\n ",null-directive
" Returns the formal string representation for this key sequence.\n \n",non-directive
"@return The formal string representation for this key sequence.\n         ",non-directive
"Guaranteed not to be <code>null</code>.\n ",null-directive
"@see java.lang.Object#toString()\n",non-directive
" Constructs an instance of <code>KeySequence</code> given a list of key\n strokes.\n \n",non-directive
"@param keyStrokes\n            the list of key strokes. ",non-directive
"This list may be empty, but it must\n            not be <code>null</code>. ",null-directive
"If this list is not empty, it\n            must only contain instances of <code>KeyStroke</code>.\n",directive
" Returns the natural key for this key stroke.\n \n",non-directive
"@return The natural key for this key stroke. ",non-directive
"This value is\n         <code>NO_KEY</code> if the key stroke is incomplete (i.e., has\n         no natural key).\n",non-directive
" Formats an individual key into a human readable format. ",non-directive
"This converts the\n key into a format similar to Xemacs.\n \n",non-directive
"@param key\n            The key to format; must not be <code>null</code>.\n ",null-directive
"@return The key formatted as a string; should not be <code>null</code>.\n",null-directive
" Formats an individual key into a human readable format. ",non-directive
"This uses an\n internationalization resource bundle to look up the key. ",non-directive
"This does the\n platform-specific formatting for Carbon.\n \n",non-directive
"@param key\n            The key to format.\n ",non-directive
"@return The key formatted as a string; should not be <code>null</code>.\n",null-directive
" Called when the TreeViewer needs up-to-date information whether the node\n at the given tree path can be expanded. ",directive
"If the content provider knows the\n element at the given tree path, it should respond by calling\n {@link TreeViewer#setHasChildren(Object, boolean)}. ",directive
