id,id_sub,comment__class,type,path,text
7738,0,0,method,org/apache/commons/collections/IndexedCollection/uniqueIndexedCollection/Collection;Transformer#0, Create an {@link IndexedCollection} for a unique index.\n\n @param <K> the index object type.\n @param <C> the collection type.\n @param coll the decorated {@link Collection}.\n @param keyTransformer the {@link Transformer} for generating index keys.\n @return the created {@link IndexedCollection}.\n
7738,1,0,method,org/apache/commons/collections/IndexedCollection/uniqueIndexedCollection/Collection;Transformer#1, Create an {@link IndexedCollection} for a unique index.\n\n 
7738,2,0,method,org/apache/commons/collections/IndexedCollection/uniqueIndexedCollection/Collection;Transformer#2,@param <K> the index object type.\n 
7738,3,0,method,org/apache/commons/collections/IndexedCollection/uniqueIndexedCollection/Collection;Transformer#3,@param <C> the collection type.\n 
7738,4,0,method,org/apache/commons/collections/IndexedCollection/uniqueIndexedCollection/Collection;Transformer#4,@param coll the decorated {@link Collection}.\n 
7738,5,0,method,org/apache/commons/collections/IndexedCollection/uniqueIndexedCollection/Collection;Transformer#5,@param keyTransformer the {@link Transformer} for generating index keys.\n 
7738,6,0,method,org/apache/commons/collections/IndexedCollection/uniqueIndexedCollection/Collection;Transformer#6,@return the created {@link IndexedCollection}.\n
7742,0,0,method,org/apache/commons/collections/IndexedCollection/get/Object#0, Get the element associated with the given key.\n @param key to look up\n @return element found\n
7742,1,0,method,org/apache/commons/collections/IndexedCollection/get/Object#1, Get the element associated with the given key.\n 
7742,2,0,method,org/apache/commons/collections/IndexedCollection/get/Object#2,@param key to look up\n 
7742,3,0,method,org/apache/commons/collections/IndexedCollection/get/Object#3,@return element found\n
7743,0,0,method,org/apache/commons/collections/IndexedCollection/IndexedCollection/Collection;Transformer;HashMap#0, Create a {@link IndexedCollection} for a unique index.\n\n @param coll the decorated {@link Collection}.\n @param keyTransformer the {@link Transformer} for generating index keys.\n
7743,1,0,method,org/apache/commons/collections/IndexedCollection/IndexedCollection/Collection;Transformer;HashMap#1, Create a {@link IndexedCollection} for a unique index.\n\n 
7743,2,0,method,org/apache/commons/collections/IndexedCollection/IndexedCollection/Collection;Transformer;HashMap#2,@param coll the decorated {@link Collection}.\n 
7743,3,0,method,org/apache/commons/collections/IndexedCollection/IndexedCollection/Collection;Transformer;HashMap#3,@param keyTransformer the {@link Transformer} for generating index keys.\n
7763,0,0,method,org/apache/commons/collections/ListUtils/sum/List;List#0, Returns the sum of the given lists.  This is their intersection\n subtracted from their union.\n\n @param list1  the first list \n @param list2  the second list\n @return  a new list containing the sum of those lists\n @throws NullPointerException if either list is null\n
7763,1,0,method,org/apache/commons/collections/ListUtils/sum/List;List#1, Returns the sum of the given lists.  
7763,2,0,method,org/apache/commons/collections/ListUtils/sum/List;List#2,This is their intersection\n subtracted from their union.\n\n 
7763,3,0,method,org/apache/commons/collections/ListUtils/sum/List;List#3,@param list1  the first list \n 
7763,4,0,method,org/apache/commons/collections/ListUtils/sum/List;List#4,@param list2  the second list\n 
7763,5,0,method,org/apache/commons/collections/ListUtils/sum/List;List#5,@return  a new list containing the sum of those lists\n 
7764,0,0,method,org/apache/commons/collections/ListUtils/union/List;List#0, Returns a new list containing the second list appended to the\n first list.  The {@link List#addAll(Collection)} operation is\n used to append the two given lists into a new list.\n\n @param list1  the first list \n @param list2  the second list\n @return  a new list containing the union of those lists\n @throws NullPointerException if either list is null\n
7764,1,0,method,org/apache/commons/collections/ListUtils/union/List;List#1, Returns a new list containing the second list appended to the\n first list.  
7764,2,0,method,org/apache/commons/collections/ListUtils/union/List;List#2,The {@link List#addAll(Collection)} operation is\n used to append the two given lists into a new list.\n\n 
7764,3,0,method,org/apache/commons/collections/ListUtils/union/List;List#3,@param list1  the first list \n 
7764,4,0,method,org/apache/commons/collections/ListUtils/union/List;List#4,@param list2  the second list\n 
7764,5,0,method,org/apache/commons/collections/ListUtils/union/List;List#5,@return  a new list containing the union of those lists\n 
7766,0,1,method,org/apache/commons/collections/ListUtils/hashCodeForList/Collection#0, Generates a hash code using the algorithm specified in \n {@link java.util.List#hashCode()}.\n <p>\n This method is useful for implementing <code>List</code> when you cannot\n extend AbstractList. The method takes Collection instances to enable other\n collection types to use the List implementation algorithm.\n \n @see java.util.List#hashCode()\n @param list  the list to generate the hashCode for, may be null\n @return the hash code\n
