id,id_sub,comment__class,type,path,text
10414,0,1,method,java/io/Writer/flush/#0, Flushes the stream.  If the stream has saved any characters from the\n various write() methods in a buffer, write them immediately to their\n intended destination.  Then, if that destination is another character or\n byte stream, flush it.  Thus one flush() invocation will flush all the\n buffers in a chain of Writers and OutputStreams.\n \n <p> If the intended destination of this stream is an abstraction provided\n by the underlying operating system, for example a file, then flushing the\n stream guarantees only that bytes previously written to the stream are\n passed to the operating system for writing; it does not guarantee that\n they are actually written to a physical device such as a disk drive.\n\n @throws  IOException\n          If an I/O error occurs\n
10414,1,0,method,java/io/Writer/flush/#1, Flushes the stream.  
10414,2,0,method,java/io/Writer/flush/#2,If the stream has saved any characters from the\n various write() methods in a buffer, write them immediately to their\n intended destination.  
10414,3,0,method,java/io/Writer/flush/#3,Then, if that destination is another character or\n byte stream, flush it.  
10414,4,1,method,java/io/Writer/flush/#4,Thus one flush() invocation will flush all the\n buffers in a chain of Writers and OutputStreams.\n \n
10414,5,1,method,java/io/Writer/flush/#5, <p> If the intended destination of this stream is an abstraction provided\n by the underlying operating system, for example a file, then flushing the\n stream guarantees only that bytes previously written to the stream are\n passed to the operating system for writing; it does not guarantee that\n they are actually written to a physical device such as a disk drive.\n\n 
10470,0,0,method,java/io/StreamTokenizer/ordinaryChars/int;int#0, Specifies that all characters <i>c</i> in the range\n <code>low&nbsp;&lt;=&nbsp;<i>c</i>&nbsp;&lt;=&nbsp;high</code>\n are "ordinary" in this tokenizer. See the\n <code>ordinaryChar</code> method for more information on a\n character being ordinary.\n\n @param   low   the low end of the range.\n @param   hi    the high end of the range.\n @see     java.io.StreamTokenizer#ordinaryChar(int)\n
10470,1,0,method,java/io/StreamTokenizer/ordinaryChars/int;int#1, Specifies that all characters <i>c</i> in the range\n <code>low&nbsp;&lt;=&nbsp;<i>c</i>&nbsp;&lt;=&nbsp;high</code>\n are "ordinary" in this tokenizer. 
10470,2,0,method,java/io/StreamTokenizer/ordinaryChars/int;int#2,See the\n <code>ordinaryChar</code> method for more information on a\n character being ordinary.\n\n 
10470,3,0,method,java/io/StreamTokenizer/ordinaryChars/int;int#3,@param   low   the low end of the range.\n 
10470,4,0,method,java/io/StreamTokenizer/ordinaryChars/int;int#4,@param   hi    the high end of the range.\n 
10470,5,0,method,java/io/StreamTokenizer/ordinaryChars/int;int#5,@see     java.io.StreamTokenizer#ordinaryChar(int)\n
10509,0,1,method,java/io/Reader/read/char[]#0, Reads characters into an array.  This method will block until some input\n is available, an I/O error occurs, or the end of the stream is reached.\n\n @param       cbuf  Destination buffer\n\n @return      The number of characters read, or -1 \n              if the end of the stream\n              has been reached\n\n @exception   IOException  If an I/O error occurs\n
10509,1,0,method,java/io/Reader/read/char[]#1, Reads characters into an array.  
10509,2,1,method,java/io/Reader/read/char[]#2,This method will block until some input\n is available, an I/O error occurs, or the end of the stream is reached.\n\n 
10509,3,0,method,java/io/Reader/read/char[]#3,@param       cbuf  Destination buffer\n\n 
10509,4,0,method,java/io/Reader/read/char[]#4,@return      The number of characters read, or -1 \n              if the end of the stream\n              has been reached\n\n 
10512,0,1,method,java/io/Reader/ready/#0, Tells whether this stream is ready to be read.\n\n @return True if the next read() is guaranteed not to block for input,\n false otherwise.  Note that returning false does not guarantee that the\n next read will block.\n\n @exception  IOException  If an I/O error occurs\n
10512,1,0,method,java/io/Reader/ready/#1, Tells whether this stream is ready to be read.\n\n 
10512,2,0,method,java/io/Reader/ready/#2,@return True if the next read() is guaranteed not to block for input,\n false otherwise.  
10512,3,1,method,java/io/Reader/ready/#3,Note that returning false does not guarantee that the\n next read will block.\n\n 
10525,0,1,method,java/io/RandomAccessFile/read/byte[]#0, Reads up to <code>b.length</code> bytes of data from this file \n into an array of bytes. This method blocks until at least one byte \n of input is available. \n <p>\n Although <code>RandomAccessFile</code> is not a subclass of \n <code>InputStream</code>, this method behaves in exactly the \n same way as the {@link InputStream#read(byte[])} method of \n <code>InputStream</code>.\n\n @param      b   the buffer into which the data is read.\n @return     the total number of bytes read into the buffer, or\n             <code>-1</code> if there is no more data because the end of\n             this file has been reached.\n @exception  IOException If the first byte cannot be read for any reason\n other than end of file, or if the random access file has been closed, or if\n some other I/O error occurs.\n @exception  NullPointerException If <code>b</code> is <code>null</code>.\n
10525,1,0,method,java/io/RandomAccessFile/read/byte[]#1, Reads up to <code>b.length</code> bytes of data from this file \n into an array of bytes. 
10525,2,0,method,java/io/RandomAccessFile/read/byte[]#2,This method blocks until at least one byte \n of input is available. \n 
10525,3,1,method,java/io/RandomAccessFile/read/byte[]#3,<p>\n Although <code>RandomAccessFile</code> is not a subclass of \n <code>InputStream</code>, this method behaves in exactly the \n same way as the {@link InputStream#read(byte[])} method of \n <code>InputStream</code>.\n\n 
10525,4,0,method,java/io/RandomAccessFile/read/byte[]#4,@param      b   the buffer into which the data is read.\n 
10525,5,0,method,java/io/RandomAccessFile/read/byte[]#5,@return     the total number of bytes read into the buffer, or\n             <code>-1</code> if there is no more data because the end of\n             this file has been reached.\n 
