id,id_sub,comment__class,type,path,text
2007,0,1,method,org/eclipse/jface/internal/text/html/BrowserInformationControl/BrowserInformationControl/Shell;String;String#0, Creates a browser information control with the given shell as parent.\n\n @param parent the parent shell\n @param symbolicFontName the symbolic name of the font used for size computations\n @param statusFieldText the text to be used in the optional status field\n            or <code>null</code> if the status field should be hidden\n @since 3.4\n
2007,1,0,method,org/eclipse/jface/internal/text/html/BrowserInformationControl/BrowserInformationControl/Shell;String;String#1, Creates a browser information control with the given shell as parent.\n\n 
2007,2,0,method,org/eclipse/jface/internal/text/html/BrowserInformationControl/BrowserInformationControl/Shell;String;String#2,@param parent the parent shell\n 
2007,3,0,method,org/eclipse/jface/internal/text/html/BrowserInformationControl/BrowserInformationControl/Shell;String;String#3,@param symbolicFontName the symbolic name of the font used for size computations\n 
2007,4,1,method,org/eclipse/jface/internal/text/html/BrowserInformationControl/BrowserInformationControl/Shell;String;String#4,@param statusFieldText the text to be used in the optional status field\n            or <code>null</code> if the status field should be hidden\n 
2007,5,0,method,org/eclipse/jface/internal/text/html/BrowserInformationControl/BrowserInformationControl/Shell;String;String#5,@since 3.4\n
2016,0,1,method,org/eclipse/jface/internal/text/html/SubstitutionTextReader/computeSubstitution/int#0, Computes the substitution for the given character and if necessary\n subsequent characters. Implementation should use <code>nextChar</code>\n to read subsequent characters.\n\n @param c the character to be substituted\n @return the substitution for <code>c</code>\n @throws IOException in case computing the substitution fails\n
2016,1,1,method,org/eclipse/jface/internal/text/html/SubstitutionTextReader/computeSubstitution/int#1, Computes the substitution for the given character and if necessary\n subsequent characters. 
2016,2,1,method,org/eclipse/jface/internal/text/html/SubstitutionTextReader/computeSubstitution/int#2,Implementation should use <code>nextChar</code>\n to read subsequent characters.\n\n 
2016,3,0,method,org/eclipse/jface/internal/text/html/SubstitutionTextReader/computeSubstitution/int#3,@param c the character to be substituted\n 
2016,4,0,method,org/eclipse/jface/internal/text/html/SubstitutionTextReader/computeSubstitution/int#4,@return the substitution for <code>c</code>\n 
2056,0,0,method,org/eclipse/jface/internal/text/source/DiffPainter/hasInformation/#0, Returns <code>true</code> if diff information is being displayed, <code>false</code> otherwise.\n\n @return <code>true</code> if diff information is being displayed, <code>false</code> otherwise\n @since 3.3\n
2056,1,0,method,org/eclipse/jface/internal/text/source/DiffPainter/hasInformation/#1, Returns <code>true</code> if diff information is being displayed, <code>false</code> otherwise.\n\n 
2056,2,0,method,org/eclipse/jface/internal/text/source/DiffPainter/hasInformation/#2,@return <code>true</code> if diff information is being displayed, <code>false</code> otherwise\n 
2056,3,0,method,org/eclipse/jface/internal/text/source/DiffPainter/hasInformation/#3,@since 3.3\n
2059,0,0,method,org/eclipse/jface/bindings/ISchemeListener/schemeChanged/SchemeEvent#0, Notifies that one or more attributes of an instance of\n <code>IScheme</code> have changed. Specific details are described in\n the <code>SchemeEvent</code>.\n \n @param schemeEvent\n            the scheme event. Guaranteed not to be <code>null</code>.\n
2059,1,0,method,org/eclipse/jface/bindings/ISchemeListener/schemeChanged/SchemeEvent#1, Notifies that one or more attributes of an instance of\n <code>IScheme</code> have changed. 
2059,2,0,method,org/eclipse/jface/bindings/ISchemeListener/schemeChanged/SchemeEvent#2,Specific details are described in\n the <code>SchemeEvent</code>.\n \n
2059,3,0,method,org/eclipse/jface/bindings/ISchemeListener/schemeChanged/SchemeEvent#3,@param schemeEvent\n            the scheme event. 
2059,4,0,method,org/eclipse/jface/bindings/ISchemeListener/schemeChanged/SchemeEvent#4,Guaranteed not to be <code>null</code>.\n
2075,0,1,method,org/eclipse/jface/bindings/TriggerSequence/getPrefixes/#0, <p>\n Returns a list of prefixes for the current sequence. A prefix is any\n leading subsequence in a <code>TriggerSequence</code>. A prefix is\n also an instance of <code>TriggerSequence</code>.\n </p>\n <p>\n For example, consider a trigger sequence that consists of four triggers:\n A, B, C and D. The prefixes would be "", "A", "A B", and "A B C". The\n list of prefixes must always be the same as the size of the trigger list.\n </p>\n \n @return The array of possible prefixes for this sequence. This array must\n         not be <code>null</code>, but may be empty. It must only\n         contains instances of <code>TriggerSequence</code>.\n
2075,1,0,method,org/eclipse/jface/bindings/TriggerSequence/getPrefixes/#1, <p>\n Returns a list of prefixes for the current sequence. 
2075,2,0,method,org/eclipse/jface/bindings/TriggerSequence/getPrefixes/#2,A prefix is any\n leading subsequence in a <code>TriggerSequence</code>. 
2075,3,0,method,org/eclipse/jface/bindings/TriggerSequence/getPrefixes/#3,A prefix is\n also an instance of <code>TriggerSequence</code>.\n 
2075,4,0,method,org/eclipse/jface/bindings/TriggerSequence/getPrefixes/#4,</p>\n <p>\n For example, consider a trigger sequence that consists of four triggers:\n A, B, C and D. 
2075,5,0,method,org/eclipse/jface/bindings/TriggerSequence/getPrefixes/#5,The prefixes would be "", "A", "A B", and "A B C". 
2075,6,1,method,org/eclipse/jface/bindings/TriggerSequence/getPrefixes/#6,The\n list of prefixes must always be the same as the size of the trigger list.\n 
2075,7,0,method,org/eclipse/jface/bindings/TriggerSequence/getPrefixes/#7,</p>\n \n 
2075,8,0,method,org/eclipse/jface/bindings/TriggerSequence/getPrefixes/#8,@return The array of possible prefixes for this sequence. 
2075,9,1,method,org/eclipse/jface/bindings/TriggerSequence/getPrefixes/#9,This array must\n         not be <code>null</code>, but may be empty. 
2075,10,1,method,org/eclipse/jface/bindings/TriggerSequence/getPrefixes/#10,It must only\n         contains instances of <code>TriggerSequence</code>.\n
2084,0,0,method,org/eclipse/jface/bindings/SchemeEvent/getScheme/#0, Returns the instance of the scheme that changed.\n \n @return the instance of the scheme that changed. Guaranteed not to be\n         <code>null</code>.\n
2084,1,0,method,org/eclipse/jface/bindings/SchemeEvent/getScheme/#1, Returns the instance of the scheme that changed.\n \n
2084,2,0,method,org/eclipse/jface/bindings/SchemeEvent/getScheme/#2,@return the instance of the scheme that changed. 
2084,3,0,method,org/eclipse/jface/bindings/SchemeEvent/getScheme/#3,Guaranteed not to be\n         <code>null</code>.\n
2094,0,0,method,org/eclipse/jface/bindings/Scheme/undefine/#0, Makes this scheme become undefined. This has the side effect of changing\n the name, description and parent identifier to <code>null</code>.\n Notification is sent to all listeners.\n
2094,1,0,method,org/eclipse/jface/bindings/Scheme/undefine/#1, Makes this scheme become undefined. 
2094,2,0,method,org/eclipse/jface/bindings/Scheme/undefine/#2,This has the side effect of changing\n the name, description and parent identifier to <code>null</code>.\n 
2094,3,0,method,org/eclipse/jface/bindings/Scheme/undefine/#3,Notification is sent to all listeners.\n
2102,0,1,method,org/eclipse/jface/bindings/BindingManager/contextManagerChanged/ContextManagerEvent#0, <p>\n Notifies this manager that the context manager has changed. This method\n is intended for internal use only.\n </p>\n <p>\n This method completes in <code>O(1)</code>.\n </p>\n
2102,1,0,method,org/eclipse/jface/bindings/BindingManager/contextManagerChanged/ContextManagerEvent#1, <p>\n Notifies this manager that the context manager has changed. 
2102,2,1,method,org/eclipse/jface/bindings/BindingManager/contextManagerChanged/ContextManagerEvent#2,This method\n is intended for internal use only.\n 
2102,3,0,method,org/eclipse/jface/bindings/BindingManager/contextManagerChanged/ContextManagerEvent#3,</p>\n <p>\n This method completes in <code>O(1)</code>.\n 
2102,4,0,method,org/eclipse/jface/bindings/BindingManager/contextManagerChanged/ContextManagerEvent#4,</p>\n
2103,0,1,method,org/eclipse/jface/bindings/BindingManager/getActiveBindingsDisregardingContext/#0, <p>\n Computes the bindings for the current state of the application, but\n disregarding the current contexts. This can be useful when trying to\n display all the possible bindings.\n </p>\n <p>\n This method completes in <code>O(n)</code>, where <code>n</code> is\n the number of bindings.\n </p>\n \n @return A map of trigger (<code>TriggerSequence</code>) to bindings (\n         <code>Collection</code> containing <code>Binding</code>).\n         This map may be empty, but it is never <code>null</code>.\n
2103,1,0,method,org/eclipse/jface/bindings/BindingManager/getActiveBindingsDisregardingContext/#1, <p>\n Computes the bindings for the current state of the application, but\n disregarding the current contexts. 
2103,2,0,method,org/eclipse/jface/bindings/BindingManager/getActiveBindingsDisregardingContext/#2,This can be useful when trying to\n display all the possible bindings.\n 
2103,3,0,method,org/eclipse/jface/bindings/BindingManager/getActiveBindingsDisregardingContext/#3,</p>\n <p>\n This method completes in <code>O(n)</code>, where <code>n</code> is\n the number of bindings.\n 
2103,4,0,method,org/eclipse/jface/bindings/BindingManager/getActiveBindingsDisregardingContext/#4,</p>\n \n 
2103,5,0,method,org/eclipse/jface/bindings/BindingManager/getActiveBindingsDisregardingContext/#5,@return A map of trigger (<code>TriggerSequence</code>) to bindings (\n         <code>Collection</code> containing <code>Binding</code>).\n         
2103,6,1,method,org/eclipse/jface/bindings/BindingManager/getActiveBindingsDisregardingContext/#6,This map may be empty, but it is never <code>null</code>.\n
2107,0,1,method,org/eclipse/jface/bindings/BindingManager/getActiveScheme/#0, <p>\n Gets the currently active scheme.\n </p>\n <p>\n This method completes in <code>O(1)</code>.\n </p>\n \n @return The active scheme; may be <code>null</code> if there is no\n         active scheme. If a scheme is returned, it is guaranteed to be\n         defined.\n
2107,1,0,method,org/eclipse/jface/bindings/BindingManager/getActiveScheme/#1, <p>\n Gets the currently active scheme.\n 
2107,2,0,method,org/eclipse/jface/bindings/BindingManager/getActiveScheme/#2,</p>\n <p>\n This method completes in <code>O(1)</code>.\n 
2107,3,0,method,org/eclipse/jface/bindings/BindingManager/getActiveScheme/#3,</p>\n \n 
2107,4,1,method,org/eclipse/jface/bindings/BindingManager/getActiveScheme/#4,@return The active scheme; may be <code>null</code> if there is no\n         active scheme. 
2107,5,0,method,org/eclipse/jface/bindings/BindingManager/getActiveScheme/#5,If a scheme is returned, it is guaranteed to be\n         defined.\n
2109,0,0,method,org/eclipse/jface/bindings/BindingManager/getBestActiveBindingFor/ParameterizedCommand#0, @param command\n @return\n 		a trigger sequence, or <code>null</code>\n @since 3.4\n
2109,1,0,method,org/eclipse/jface/bindings/BindingManager/getBestActiveBindingFor/ParameterizedCommand#1,@param command\n 
2109,2,0,method,org/eclipse/jface/bindings/BindingManager/getBestActiveBindingFor/ParameterizedCommand#2,@return\n 		a trigger sequence, or <code>null</code>\n 
2109,3,0,method,org/eclipse/jface/bindings/BindingManager/getBestActiveBindingFor/ParameterizedCommand#3,@since 3.4\n
2111,0,1,method,org/eclipse/jface/bindings/BindingManager/getBindings/#0, <p>\n Returns the set of all bindings managed by this class.\n </p>\n <p>\n This method completes in <code>O(1)</code>.\n </p>\n \n @return The array of all bindings. This value may be <code>null</code>\n         and it may be empty.\n
2111,1,0,method,org/eclipse/jface/bindings/BindingManager/getBindings/#1, <p>\n Returns the set of all bindings managed by this class.\n 
2111,2,0,method,org/eclipse/jface/bindings/BindingManager/getBindings/#2,</p>\n <p>\n This method completes in <code>O(1)</code>.\n 
2111,3,0,method,org/eclipse/jface/bindings/BindingManager/getBindings/#3,</p>\n \n 
2111,4,0,method,org/eclipse/jface/bindings/BindingManager/getBindings/#4,@return The array of all bindings. 
2111,5,1,method,org/eclipse/jface/bindings/BindingManager/getBindings/#5,This value may be <code>null</code>\n         and it may be empty.\n
2117,0,1,method,org/eclipse/jface/bindings/BindingManager/getScheme/String#0, <p>\n Gets the scheme with the given identifier. If the scheme does not already\n exist, then a new (undefined) scheme is created with that identifier.\n This guarantees that schemes will remain unique.\n </p>\n <p>\n This method completes in amortized <code>O(1)</code>.\n </p>\n \n @param schemeId\n            The identifier for the scheme to retrieve; must not be\n            <code>null</code>.\n @return A scheme with the given identifier.\n
2117,1,0,method,org/eclipse/jface/bindings/BindingManager/getScheme/String#1, <p>\n Gets the scheme with the given identifier. 
2117,2,0,method,org/eclipse/jface/bindings/BindingManager/getScheme/String#2,If the scheme does not already\n exist, then a new (undefined) scheme is created with that identifier.\n 
2117,3,0,method,org/eclipse/jface/bindings/BindingManager/getScheme/String#3,This guarantees that schemes will remain unique.\n 
2117,4,0,method,org/eclipse/jface/bindings/BindingManager/getScheme/String#4,</p>\n <p>\n This method completes in amortized <code>O(1)</code>.\n 
2117,5,0,method,org/eclipse/jface/bindings/BindingManager/getScheme/String#5,</p>\n \n 
2117,6,1,method,org/eclipse/jface/bindings/BindingManager/getScheme/String#6,@param schemeId\n            The identifier for the scheme to retrieve; must not be\n            <code>null</code>.\n 
2117,7,0,method,org/eclipse/jface/bindings/BindingManager/getScheme/String#7,@return A scheme with the given identifier.\n
2123,0,1,method,org/eclipse/jface/bindings/BindingManager/schemeChanged/SchemeEvent#0, <p>\n Notifies this manager that a scheme has changed. This method is intended\n for internal use only.\n </p>\n <p>\n This method calls out to listeners, and so the time it takes to complete\n is dependent on third-party code.\n </p>\n \n @param schemeEvent\n            An event describing the change in the scheme.\n
2123,1,0,method,org/eclipse/jface/bindings/BindingManager/schemeChanged/SchemeEvent#1, <p>\n Notifies this manager that a scheme has changed. 
2123,2,1,method,org/eclipse/jface/bindings/BindingManager/schemeChanged/SchemeEvent#2,This method is intended\n for internal use only.\n 
2123,3,1,method,org/eclipse/jface/bindings/BindingManager/schemeChanged/SchemeEvent#3,</p>\n <p>\n This method calls out to listeners, and so the time it takes to complete\n is dependent on third-party code.\n 
2123,4,0,method,org/eclipse/jface/bindings/BindingManager/schemeChanged/SchemeEvent#4,</p>\n \n 
2123,5,0,method,org/eclipse/jface/bindings/BindingManager/schemeChanged/SchemeEvent#5,@param schemeEvent\n            An event describing the change in the scheme.\n
2125,0,1,method,org/eclipse/jface/bindings/BindingManager/getConflictsFor/TriggerSequence#0, Provides the current conflicts in the keybindings for the given \n TriggerSequence as a {@link Collection} of {@link Binding}\n \n @param sequence The sequence for which conflict info is required\n \n @return Collection of KeyBinding. If no conflicts,\n         then returns a <code>null</code>\n @since 3.5\n
2125,1,0,method,org/eclipse/jface/bindings/BindingManager/getConflictsFor/TriggerSequence#1, Provides the current conflicts in the keybindings for the given \n TriggerSequence as a {@link Collection} of {@link Binding}\n \n 
2125,2,1,method,org/eclipse/jface/bindings/BindingManager/getConflictsFor/TriggerSequence#2,@param sequence The sequence for which conflict info is required\n \n 
2125,3,0,method,org/eclipse/jface/bindings/BindingManager/getConflictsFor/TriggerSequence#3,@return Collection of KeyBinding. 
2125,4,0,method,org/eclipse/jface/bindings/BindingManager/getConflictsFor/TriggerSequence#4,If no conflicts,\n         then returns a <code>null</code>\n 
2125,5,0,method,org/eclipse/jface/bindings/BindingManager/getConflictsFor/TriggerSequence#5,@since 3.5\n
2136,0,1,method,org/eclipse/jface/bindings/Binding/getParameterizedCommand/#0, Returns the parameterized command to which this binding applies. If the\n identifier is <code>null</code>, then this binding is "unbinding" an\n existing binding.\n \n @return The fully-parameterized command; may be <code>null</code>.\n
2136,1,0,method,org/eclipse/jface/bindings/Binding/getParameterizedCommand/#1, Returns the parameterized command to which this binding applies. 
2136,2,0,method,org/eclipse/jface/bindings/Binding/getParameterizedCommand/#2,If the\n identifier is <code>null</code>, then this binding is "unbinding" an\n existing binding.\n \n
2136,3,1,method,org/eclipse/jface/bindings/Binding/getParameterizedCommand/#3,@return The fully-parameterized command; may be <code>null</code>.\n
2155,0,1,method,org/eclipse/jface/bindings/keys/KeySequenceText/removePropertyChangeListener/IPropertyChangeListener#0, Removes the given listener from this key sequence widget.\n \n @param listener\n            The listener to be removed; must not be <code>null</code>.\n @since 3.2\n
2155,1,0,method,org/eclipse/jface/bindings/keys/KeySequenceText/removePropertyChangeListener/IPropertyChangeListener#1, Removes the given listener from this key sequence widget.\n \n
2155,2,1,method,org/eclipse/jface/bindings/keys/KeySequenceText/removePropertyChangeListener/IPropertyChangeListener#2,@param listener\n            The listener to be removed; must not be <code>null</code>.\n 
2155,3,0,method,org/eclipse/jface/bindings/keys/KeySequenceText/removePropertyChangeListener/IPropertyChangeListener#3,@since 3.2\n
2178,0,1,method,org/eclipse/jface/bindings/keys/SWTKeySupport/convertAcceleratorToKeyStroke/int#0, Given an SWT accelerator value, provide the corresponding key stroke.\n \n @param accelerator\n            The accelerator to convert; should be a valid SWT accelerator\n            value.\n @return The equivalent key stroke; never <code>null</code>.\n
2178,1,0,method,org/eclipse/jface/bindings/keys/SWTKeySupport/convertAcceleratorToKeyStroke/int#1, Given an SWT accelerator value, provide the corresponding key stroke.\n \n
2178,2,1,method,org/eclipse/jface/bindings/keys/SWTKeySupport/convertAcceleratorToKeyStroke/int#2,@param accelerator\n            The accelerator to convert; should be a valid SWT accelerator\n            value.\n 
2178,3,1,method,org/eclipse/jface/bindings/keys/SWTKeySupport/convertAcceleratorToKeyStroke/int#3,@return The equivalent key stroke; never <code>null</code>.\n
2179,0,1,method,org/eclipse/jface/bindings/keys/SWTKeySupport/convertEventToModifiedAccelerator/Event#0, <p>\n Converts the given event into an SWT accelerator value -- considering the\n modified character with the shift modifier. This is the third accelerator\n value that should be checked when processing incoming key events.\n </p>\n <p>\n For example, on a standard US keyboard, "Ctrl+Shift+5" would be viewed as\n "Ctrl+Shift+%".\n </p>\n \n @param event\n            The event to be converted; must not be <code>null</code>.\n @return The combination of the state mask and the unmodified character.\n
2179,1,0,method,org/eclipse/jface/bindings/keys/SWTKeySupport/convertEventToModifiedAccelerator/Event#1, <p>\n Converts the given event into an SWT accelerator value -- considering the\n modified character with the shift modifier. 
2179,2,1,method,org/eclipse/jface/bindings/keys/SWTKeySupport/convertEventToModifiedAccelerator/Event#2,This is the third accelerator\n value that should be checked when processing incoming key events.\n 
2179,3,0,method,org/eclipse/jface/bindings/keys/SWTKeySupport/convertEventToModifiedAccelerator/Event#3,</p>\n <p>\n For example, on a standard US keyboard, "Ctrl+Shift+5" would be viewed as\n "Ctrl+Shift+%".\n 
2179,4,0,method,org/eclipse/jface/bindings/keys/SWTKeySupport/convertEventToModifiedAccelerator/Event#4,</p>\n \n 
2179,5,1,method,org/eclipse/jface/bindings/keys/SWTKeySupport/convertEventToModifiedAccelerator/Event#5,@param event\n            The event to be converted; must not be <code>null</code>.\n 
2179,6,0,method,org/eclipse/jface/bindings/keys/SWTKeySupport/convertEventToModifiedAccelerator/Event#6,@return The combination of the state mask and the unmodified character.\n
2189,0,1,method,org/eclipse/jface/bindings/keys/IKeyLookup/formalModifierLookup/String#0, Looks up a single modifier key by its formal name, and returns the integer\n representation for this modifier key\n \n @param name\n            The formal name of the modifier key to look-up; must not be\n            <code>null</code>.\n @return The integer representation of this key. If the modifier key\n         cannot be found, then this method returns <code>0</code>.\n
2189,1,0,method,org/eclipse/jface/bindings/keys/IKeyLookup/formalModifierLookup/String#1, Looks up a single modifier key by its formal name, and returns the integer\n representation for this modifier key\n \n 
2189,2,1,method,org/eclipse/jface/bindings/keys/IKeyLookup/formalModifierLookup/String#2,@param name\n            The formal name of the modifier key to look-up; must not be\n            <code>null</code>.\n 
2189,3,0,method,org/eclipse/jface/bindings/keys/IKeyLookup/formalModifierLookup/String#3,@return The integer representation of this key. 
2189,4,0,method,org/eclipse/jface/bindings/keys/IKeyLookup/formalModifierLookup/String#4,If the modifier key\n         cannot be found, then this method returns <code>0</code>.\n
2190,0,0,method,org/eclipse/jface/bindings/keys/IKeyLookup/formalNameLookup/int#0, Looks up a key value, and returns the formal string representation for\n that key\n \n @param key\n            The key to look-up.\n @return The formal string representation of this key. If this key cannot\n         be found, then it is simply the character corresponding to that\n         integer value.\n
2190,1,0,method,org/eclipse/jface/bindings/keys/IKeyLookup/formalNameLookup/int#1, Looks up a key value, and returns the formal string representation for\n that key\n \n 
2190,2,0,method,org/eclipse/jface/bindings/keys/IKeyLookup/formalNameLookup/int#2,@param key\n            The key to look-up.\n 
2190,3,0,method,org/eclipse/jface/bindings/keys/IKeyLookup/formalNameLookup/int#3,@return The formal string representation of this key. 
2190,4,0,method,org/eclipse/jface/bindings/keys/IKeyLookup/formalNameLookup/int#4,If this key cannot\n         be found, then it is simply the character corresponding to that\n         integer value.\n
2274,0,0,method,org/eclipse/jface/bindings/keys/KeySequence/getInstance/#0, Gets an instance of <code>KeySequence</code>.\n \n @return a key sequence. This key sequence will have no key strokes.\n         Guaranteed not to be <code>null</code>.\n
2274,1,0,method,org/eclipse/jface/bindings/keys/KeySequence/getInstance/#1, Gets an instance of <code>KeySequence</code>.\n \n
2274,2,0,method,org/eclipse/jface/bindings/keys/KeySequence/getInstance/#2,@return a key sequence. 
2274,3,0,method,org/eclipse/jface/bindings/keys/KeySequence/getInstance/#3,This key sequence will have no key strokes.\n         
2274,4,0,method,org/eclipse/jface/bindings/keys/KeySequence/getInstance/#4,Guaranteed not to be <code>null</code>.\n
2278,0,1,method,org/eclipse/jface/bindings/keys/KeySequence/getInstance/List#0, Creates an instance of <code>KeySequence</code> given a list of key\n strokes.\n \n @param keyStrokes\n            the list of key strokes. This list may be empty, but it must\n            not be <code>null</code>. If this list is not empty, it\n            must only contain instances of <code>KeyStroke</code>.\n @return a key sequence. Guaranteed not to be <code>null</code>.\n
2278,1,0,method,org/eclipse/jface/bindings/keys/KeySequence/getInstance/List#1, Creates an instance of <code>KeySequence</code> given a list of key\n strokes.\n \n
2278,2,0,method,org/eclipse/jface/bindings/keys/KeySequence/getInstance/List#2,@param keyStrokes\n            the list of key strokes. 
2278,3,1,method,org/eclipse/jface/bindings/keys/KeySequence/getInstance/List#3,This list may be empty, but it must\n            not be <code>null</code>. 
2278,4,1,method,org/eclipse/jface/bindings/keys/KeySequence/getInstance/List#4,If this list is not empty, it\n            must only contain instances of <code>KeyStroke</code>.\n 
2278,5,0,method,org/eclipse/jface/bindings/keys/KeySequence/getInstance/List#5,@return a key sequence. 
2278,6,0,method,org/eclipse/jface/bindings/keys/KeySequence/getInstance/List#6,Guaranteed not to be <code>null</code>.\n
2279,0,0,method,org/eclipse/jface/bindings/keys/KeySequence/getInstance/String#0, Creates an instance of <code>KeySequence</code> by parsing a given\n formal string representation.\n \n @param string\n            the formal string representation to parse.\n @return a key sequence. Guaranteed not to be <code>null</code>.\n @throws ParseException\n             if the given formal string representation could not be parsed\n             to a valid key sequence.\n
2279,1,0,method,org/eclipse/jface/bindings/keys/KeySequence/getInstance/String#1, Creates an instance of <code>KeySequence</code> by parsing a given\n formal string representation.\n \n
2279,2,0,method,org/eclipse/jface/bindings/keys/KeySequence/getInstance/String#2,@param string\n            the formal string representation to parse.\n 
2279,3,0,method,org/eclipse/jface/bindings/keys/KeySequence/getInstance/String#3,@return a key sequence. 
2279,4,0,method,org/eclipse/jface/bindings/keys/KeySequence/getInstance/String#4,Guaranteed not to be <code>null</code>.\n 
2285,0,0,method,org/eclipse/jface/bindings/keys/KeySequence/toString/#0, Returns the formal string representation for this key sequence.\n \n @return The formal string representation for this key sequence.\n         Guaranteed not to be <code>null</code>.\n @see java.lang.Object#toString()\n
2285,1,0,method,org/eclipse/jface/bindings/keys/KeySequence/toString/#1, Returns the formal string representation for this key sequence.\n \n
2285,2,0,method,org/eclipse/jface/bindings/keys/KeySequence/toString/#2,@return The formal string representation for this key sequence.\n         
2285,3,0,method,org/eclipse/jface/bindings/keys/KeySequence/toString/#3,Guaranteed not to be <code>null</code>.\n 
2285,4,0,method,org/eclipse/jface/bindings/keys/KeySequence/toString/#4,@see java.lang.Object#toString()\n
2286,0,1,method,org/eclipse/jface/bindings/keys/KeySequence/KeySequence/KeyStroke[]#0, Constructs an instance of <code>KeySequence</code> given a list of key\n strokes.\n \n @param keyStrokes\n            the list of key strokes. This list may be empty, but it must\n            not be <code>null</code>. If this list is not empty, it\n            must only contain instances of <code>KeyStroke</code>.\n
2286,1,0,method,org/eclipse/jface/bindings/keys/KeySequence/KeySequence/KeyStroke[]#1, Constructs an instance of <code>KeySequence</code> given a list of key\n strokes.\n \n
2286,2,0,method,org/eclipse/jface/bindings/keys/KeySequence/KeySequence/KeyStroke[]#2,@param keyStrokes\n            the list of key strokes. 
2286,3,1,method,org/eclipse/jface/bindings/keys/KeySequence/KeySequence/KeyStroke[]#3,This list may be empty, but it must\n            not be <code>null</code>. 
2286,4,1,method,org/eclipse/jface/bindings/keys/KeySequence/KeySequence/KeyStroke[]#4,If this list is not empty, it\n            must only contain instances of <code>KeyStroke</code>.\n
2301,0,0,method,org/eclipse/jface/bindings/keys/KeyStroke/getNaturalKey/#0, Returns the natural key for this key stroke.\n \n @return The natural key for this key stroke. This value is\n         <code>NO_KEY</code> if the key stroke is incomplete (i.e., has\n         no natural key).\n
2301,1,0,method,org/eclipse/jface/bindings/keys/KeyStroke/getNaturalKey/#1, Returns the natural key for this key stroke.\n \n
2301,2,0,method,org/eclipse/jface/bindings/keys/KeyStroke/getNaturalKey/#2,@return The natural key for this key stroke. 
2301,3,0,method,org/eclipse/jface/bindings/keys/KeyStroke/getNaturalKey/#3,This value is\n         <code>NO_KEY</code> if the key stroke is incomplete (i.e., has\n         no natural key).\n
2324,0,1,method,org/eclipse/jface/bindings/keys/formatting/EmacsKeyFormatter/format/int#0, Formats an individual key into a human readable format. This converts the\n key into a format similar to Xemacs.\n \n @param key\n            The key to format; must not be <code>null</code>.\n @return The key formatted as a string; should not be <code>null</code>.\n
2324,1,0,method,org/eclipse/jface/bindings/keys/formatting/EmacsKeyFormatter/format/int#1, Formats an individual key into a human readable format. 
2324,2,0,method,org/eclipse/jface/bindings/keys/formatting/EmacsKeyFormatter/format/int#2,This converts the\n key into a format similar to Xemacs.\n \n
