id,id_sub,comment__class
10011,3,3
10016,4,1
10018,3,3
10025,2,2
10025,3,2
10025,5,3
10042,2,1
10042,5,2
10042,6,2
10045,2,1
10045,3,2
10175,1,0
10178,3,3
10214,2,0
10215,2,0
10216,5,1
10238,2,2
10238,4,3
10239,2,2
10239,4,3
10246,3,1
10247,2,0
10247,3,2
10248,3,1
10255,2,1
10255,4,1
10255,5,1
10255,6,0
10256,3,3
10275,2,0
7766,2,2
7766,5,3
7775,3,3
7775,4,3
7783,1,0
7783,2,2
7787,2,2
7794,1,0
7794,2,2
7794,4,0
7829,5,0
7832,1,0
7851,1,0
7852,1,0
7852,3,2
7865,2,3
7867,1,0
7867,7,0
7871,2,2
7871,4,3
7872,2,2
7872,3,0
7872,4,0
7873,2,2
7873,4,3
7873,5,0
7873,6,0
7876,2,2
7891,2,2
7913,2,2
7914,3,2
7914,8,2
8032,3,2
8032,4,2
8058,2,0
8083,2,2
8083,4,2
8084,2,2
8084,4,2
8085,2,2
8085,4,2
8125,2,2
8147,2,2
8234,2,2
8234,3,2
8239,2,3
8243,2,3
8244,1,0
8246,3,3
8265,4,1
8271,2,2
8271,3,3
8274,1,2
8274,2,2
8274,3,3
8279,3,2
8291,2,3
8291,3,3
8296,2,3
8296,3,3
8299,1,2
8299,2,2
8299,3,3
8299,4,3
8301,2,3
8306,4,3
8310,1,2
8310,2,2
8312,2,3
8315,1,2
8315,2,2
8315,3,0
8320,1,2
8320,2,2
8327,1,0
8327,2,0
8327,5,0
8335,2,3
8341,1,0
8344,1,2
8344,2,2
8346,2,1
8346,3,1
8346,4,3
8347,2,1
8347,3,1
8347,4,3
8349,1,2
8350,1,2
8350,2,2
8350,3,3
8356,1,0
8357,1,0
8358,1,2
8358,2,2
8358,3,0
8358,4,3
8358,5,3
8364,1,2
8364,2,2
8370,5,3
8374,1,2
8374,2,2
8374,4,3
8383,4,3
8386,1,2
8386,2,2
8386,3,3
8389,1,0
8391,1,2
8391,2,2
8391,3,3
8403,1,2
8403,2,2
8403,3,0
8410,1,2
8414,4,1
8419,3,0
8422,1,2
8422,2,2
8422,3,2
8422,4,2
8426,3,3
8429,2,3
8432,1,2
8432,2,2
8432,3,0
8442,1,0
8442,2,1
8443,2,3
8443,3,3
8449,2,3
8450,1,0
8450,3,0
8452,1,2
8452,2,2
8452,3,3
8461,2,3
8464,1,2
8464,2,2
8464,3,0
8466,2,3
8469,1,2
8469,2,2
8469,3,0
8478,1,2
8478,2,2
8481,4,1
8489,1,2
8489,2,2
8489,3,3
8489,4,3
8584,2,0
8585,2,1
8585,3,0
8587,2,0
8626,2,1
8634,2,1
8690,2,2
8690,3,2
8690,4,3
8706,3,0
8742,2,1
8744,2,3
8754,2,1
8755,2,1
8772,2,1
8796,3,2
8796,4,3
8797,3,2
8797,4,3
8825,2,1
8829,2,3
8890,2,0
8903,2,2
8945,3,3
8964,1,1
8967,3,3
8999,2,1
9085,2,1
9085,3,1
9085,5,1
9087,2,2
9087,3,1
9087,4,1
9087,5,0
9087,6,1
9087,7,1
9096,1,0
9113,2,1
9113,3,1
9115,2,1
9115,3,1
9117,2,1
9117,3,1
9117,5,1
9119,3,1
9269,2,3
9269,3,3
9371,3,0
9383,2,2
9383,3,0
9383,4,2
9570,3,1
9570,4,1
9570,5,2
9570,6,1
9573,2,1
9573,3,1
9573,4,2
9573,5,1
9578,2,1
9578,3,1
9578,4,2
9578,5,1
9584,2,1
9585,2,1
9588,6,3
9588,7,1
9591,2,3
9634,5,3
9635,4,3
9638,5,3
9640,6,3
9641,5,3
9644,6,3
9646,7,3
9650,7,3
9652,8,3
9653,7,3
9674,3,1
9674,7,3
9675,2,2
9676,2,1
9676,6,3
9680,2,2
9736,3,3
9801,3,3
9809,3,3
9811,2,1
9811,5,2
9828,2,2
9831,2,0
9860,2,0
9862,2,0
9864,2,1
9917,2,0
9955,2,1
9955,4,3
9956,2,1
9957,2,1
9959,2,2
9988,3,3
9990,2,1
9990,3,2
9991,2,1
9991,3,2
9992,2,1
9992,3,2
