@relation 'dataset_corrected_only_comments_and_manually_revised_subset_(only comments and class)'

@attribute text STRING
@attribute __directive_class__ {directive,non-directive}

@data
' Provides support for dialogs. <h2> Package Specification</h2> A dialog is a specialized window, typically consisting of a dialog area and a button bar, designed for narrow-focussed communication with the user. <p>The dialog framework consists of an abstract base class (<tt>Dialog</tt>), along with more concrete dialog subclasses for displaying messages (<tt>_ClassElement_</tt>), soliciting text input (<tt>_ClassElement_</tt>), and displaying progress during a long-running operation (<tt>_ClassElement_</tt>). <p>Dialog stores (<tt>IDialogStore</tt>, <tt>_ClassElement_</tt>) provide a general framework for organizing a dialog\'s settings into _OSPathElement_value pairs. Multi-page dialogs are made easier through the use of dialog pages (<tt>IDialogPage</tt>, <tt>_ClassElement_</tt>). <p>Note: None of the classes in this package maintain global state. <br>&nbsp; <br>&nbsp; <br>&nbsp; ',directive
' Provides support for dialogs. ',non-directive
'<h2> Package Specification</h2> A dialog is a specialized window, typically consisting of a dialog area and a button bar, designed for narrow-focussed communication with the user. ',non-directive
'<p>The dialog framework consists of an abstract base class (<tt>Dialog</tt>), along with more concrete dialog subclasses for displaying messages (<tt>_ClassElement_</tt>), soliciting text input (<tt>_ClassElement_</tt>), and displaying progress during a long-running operation (<tt>_ClassElement_</tt>). ',directive
'<p>Dialog stores (<tt>IDialogStore</tt>, <tt>_ClassElement_</tt>) provide a general framework for organizing a dialog\'s settings into _OSPathElement_value pairs. ',non-directive
'Multi-page dialogs are made easier through the use of dialog pages (<tt>IDialogPage</tt>, <tt>_ClassElement_</tt>). ',non-directive
'<p>Note: None of the classes in this package maintain global state. <br>&nbsp; ',directive
'<br>&nbsp; <br>&nbsp; ',non-directive
' Provides support for layout generation.  <h2> Package Specification</h2> <p> This package provides classes that can be used to generate layouts. ',non-directive
' Provides support for layout generation.  ',non-directive
'<h2> Package Specification</h2> <p> This package provides classes that can be used to generate layouts. ',non-directive
' Provides support for managing resources such as SWT fonts and images. <h2> Package Specification</h2> This package contains support for managing resources, including: <ul> <li> font registries (<tt>_ClassElement_</tt>) - for hanging on to the SWT font objects needed by an application</li>  <li> color registries (<tt>_ClassElement_</tt>) - for hanging on to the SWT color  objects needed by an application</li>  <li> image registries (<tt>_ClassElement_</tt>) - for hanging on to the SWT image objects needed by an application</li>  <li> image descriptors (<tt>_ClassElement_</tt>) - surrogate object for creating SWT images</li>  <li> string conversion (<tt>_ClassElement_</tt>) - for parsing property files</li> </ul> The JFace resources module is an independent JFace module requiring a basic knowledge of SWT and the JFace property change event mechanism. Familiarity with other JFace modules is not required. <p>Image descriptors are objects that knows how to create an image on demand. They serve as a lightweight representation of images in situations where no SWT display exists yet, and are used mainly in conjunction with image registries. This package contains the image descriptor framework, which is a simple hierarchy rooted at the abstract class <tt>_ClassElement_</tt>. The framework includes abstract subclasses for composing images (<tt>_ClassElement_</tt>) as well as a ready-made concrete subclass for loading images from files (<tt>_ClassElement_</tt>). <p>The class <tt>JFaceResources</tt> maintains global state on behalf of JFace itself consisting of JFace\'s own image registry, font registry, resource bundle, and preference store. <br>&nbsp; ',directive
' Provides support for managing resources such as SWT fonts and images. ',non-directive
'<h2> Package Specification</h2> This package contains support for managing resources, including: <ul> ',non-directive
'<li> font registries (<tt>_ClassElement_</tt>) - for hanging on to the SWT font objects needed by an application</li>  ',non-directive
'<li> color registries (<tt>_ClassElement_</tt>) - for hanging on to the SWT color  objects needed by an application</li>  ',non-directive
'<li> image registries (<tt>_ClassElement_</tt>) - for hanging on to the SWT image objects needed by an application</li>  ',non-directive
'<li> image descriptors (<tt>_ClassElement_</tt>) - surrogate object for creating SWT images</li>  ',non-directive
'<li> string conversion (<tt>_ClassElement_</tt>) - for parsing property files</li> </ul> ',non-directive
'The JFace resources module is an independent JFace module requiring a basic knowledge of SWT and the JFace property change event mechanism. ',non-directive
'Familiarity with other JFace modules is not required. ',directive
'<p>Image descriptors are objects that knows how to create an image on demand. ',non-directive
'They serve as a lightweight representation of images in situations where no SWT display exists yet, and are used mainly in conjunction with image registries. ',non-directive
'This package contains the image descriptor framework, which is a simple hierarchy rooted at the abstract class <tt>_ClassElement_</tt>. ',non-directive
'The framework includes abstract subclasses for composing images (<tt>_ClassElement_</tt>) as well as a ready-made concrete subclass for loading images from files (<tt>_ClassElement_</tt>). ',directive
'<p>The class <tt>JFaceResources</tt> maintains global state on behalf of JFace itself consisting of JFace\'s own image registry, font registry, resource bundle, and preference store. <br>&nbsp; ',non-directive
?,non-directive
' Provides JFace support for long-running operations. <h2> Package Specification</h2> Long-running operations must be dealt with specially in order to keep the UI helpful and responsive. Typically this involves temporarily disabling most controls and displaying a busy cursor and progress indicator; while the operation is in progress, the only requests that will be accepted will be ones to cancel the operation. <p>The <tt>IRunnableWithProgress</tt> interface should be implemented by any class whose instances are intended to be executed as long-running operations. These objects can then be run in any runnable context (<tt>IRunnableContext</tt>), including such standard JFace UI components as application windows (<tt>_ClassElement_</tt>), wizard dialogs (<tt>_ClassElement_</tt>), and progress monitor dialogs (<tt>_ClassElement_</tt>). The utility class <tt>_ClassElement_</tt> defines the basic mechanism and UI event loop for modal operations. ',directive
' Provides JFace support for long-running operations. ',non-directive
'<h2> Package Specification</h2> Long-running operations must be dealt with specially in order to keep the UI helpful and responsive. ',directive
'Typically this involves temporarily disabling most controls and displaying a busy cursor and progress indicator; while the operation is in progress, the only requests that will be accepted will be ones to cancel the operation. ',directive
'<p>The <tt>IRunnableWithProgress</tt> interface should be implemented by any class whose instances are intended to be executed as long-running operations. ',directive
'These objects can then be run in any runnable context (<tt>IRunnableContext</tt>), including such standard JFace UI components as application windows (<tt>_ClassElement_</tt>), wizard dialogs (<tt>_ClassElement_</tt>), and progress monitor dialogs (<tt>_ClassElement_</tt>). ',non-directive
'The utility class <tt>_ClassElement_</tt> defines the basic mechanism and UI event loop for modal operations. ',non-directive
' Provides a content assist add-on for implementors of <tt>IContentAssistSubjectControl</tt>. Content assist supports the user in writing&nbsp; by proposing context sensitive completions at a given position. A completion can also be a incomplete in itself and content assist provides means to deal with nested completions. <h2> Package Specification</h2> <tt>ISubjectControlContentAssistant</tt> defines the concept of the content assist add-on. It collaborates with content type specific completion processors (<tt>ISubjectControlContentAssistProcessor</tt>) in order to generate completion proposals (<tt>ICompletionProposal</tt>) valid at the current document position. The package provides a default implementation <tt>_ClassElement_</tt> which completely defines and implements the UI and the control flow for content assist. <br> <br> <strong>Deprecated, as of _ClassPathElement_, replaced by Platform UI\'s field assist support</strong> ',directive
' Provides a content assist add-on for implementors of <tt>IContentAssistSubjectControl</tt>. ',non-directive
'Content assist supports the user in writing&nbsp; by proposing context sensitive completions at a given position. ',non-directive
'A completion can also be a incomplete in itself and content assist provides means to deal with nested completions. ',non-directive
'<h2> Package Specification</h2> <tt>ISubjectControlContentAssistant</tt> defines the concept of the content assist add-on. ',non-directive
'It collaborates with content type specific completion processors (<tt>ISubjectControlContentAssistProcessor</tt>) in order to generate completion proposals (<tt>ICompletionProposal</tt>) valid at the current document position. ',non-directive
