@relation 'textMining01.csv-testSet'

@attribute text STRING
@attribute __directive_class__ {directive,non-directive}

@data
'@version $Revision: 815026 $ $Date: 2009-09-15 07:54:23 +0200 (Tue, 15 Sep 2009) $   ',non-directive
'@author Stephen Colebourne ',non-directive
' Returns true if this map is full and no new elements can be added.   @return <code>true</code> if the map is full ',non-directive
' Returns true if this map is full and no new elements can be added.   ',non-directive
'@return <code>true</code> if the map is full ',non-directive
' Gets the maximum size of the map (the bound).   @return the maximum number of elements the map can hold ',non-directive
' Gets the maximum size of the map (the bound).   ',non-directive
'@return the maximum number of elements the map can hold ',non-directive
' Defines a simple key value pair.  <p>  A Map Entry has considerable additional semantics over and above a simple  key-value pair. This interface defines the minimum key value, with just the  two get methods.   @param <K> the type of the key  @param <V> the type of the value  @since Commons Collections _ClassPathElement_  @version $Revision: 815006 $ $Date: 2009-09-15 07:44:36 +0200 (Tue, 15 Sep 2009) $   @author Stephen Colebourne ',directive
' Defines a simple key value pair.  ',non-directive
'<p>  A Map Entry has considerable additional semantics over and above a simple  key-value pair. ',directive
'This interface defines the minimum key value, with just the  two get methods.   ',non-directive
'@param <K> the type of the key  ',non-directive
'@param <V> the type of the value  ',non-directive
'@since Commons Collections _ClassPathElement_  ',non-directive
'@version $Revision: 815006 $ $Date: 2009-09-15 07:44:36 +0200 (Tue, 15 Sep 2009) $   ',non-directive
'@author Stephen Colebourne ',non-directive
' Gets the key from the pair.   @return the key  ',non-directive
' Gets the key from the pair.   ',non-directive
'@return the key  ',non-directive
' Gets the value from the pair.   @return the value ',non-directive
' Gets the value from the pair.   ',non-directive
'@return the value ',non-directive
' The _ClassElement_ is used when the buffer is already empty.  <p>  NOTE: From version _ClassPathElement_, this exception extends _ClassElement_.   @since Commons Collections _ClassPathElement_  @version $Revision: 956279 $ $Date: 2010-06-19 21:47:48 +0200 (Sat, 19 Jun 2010) $   @author Avalon  @author Berin Loritsch  @author Jeff Turner  @author Paul Jack  @author Stephen Colebourne ',directive
' The _ClassElement_ is used when the buffer is already empty.  ',non-directive
'<p>  NOTE: From version _ClassPathElement_, this exception extends _ClassElement_.   ',directive
'@since Commons Collections _ClassPathElement_  ',non-directive
'@version $Revision: 956279 $ $Date: 2010-06-19 21:47:48 +0200 (Sat, 19 Jun 2010) $   ',non-directive
'@author Avalon  ',non-directive
'@author Berin Loritsch  ',non-directive
'@author Jeff Turner  ',non-directive
'@author Paul Jack  ',non-directive
'@author Stephen Colebourne ',non-directive
' Constructs a new <code>_ClassElement_</code>. ',non-directive
' Constructs a new <code>_ClassElement_</code>. ',non-directive
'  Construct a new <code>_ClassElement_</code>.    @param message  the detail message for this exception ',non-directive
'  Construct a new <code>_ClassElement_</code>.   ',non-directive
?,non-directive
'@param message  the detail message for this exception ',non-directive
'  Construct a new <code>_ClassElement_</code>.    @param message  the detail message for this exception  @param exception  the root cause of the exception ',non-directive
'  Construct a new <code>_ClassElement_</code>.   ',non-directive
?,non-directive
'@param message  the detail message for this exception  ',non-directive
'@param exception  the root cause of the exception ',non-directive
' Defines a collection that counts the number of times an object appears in  the collection.  <p>  Suppose you have a Bag that contains <code>{a, a, b, c}</code>.  Calling {@link #_ClassElement_(Object)} on <code>a</code> would return 2, while  calling {@link #_ClassElement_()} would return <code>{a, b, c}</code>.  <p>  <i>NOTE: This interface violates the {@link Collection} contract.</i>   The behavior specified in many of these methods is <i>not</i> the same  as the behavior specified by <code>Collection</code>.  The noncompliant methods are clearly marked with \"(Violation)\".  Exercise caution when using a bag as a <code>Collection</code>.  <p>  This violation resulted from the original specification of this interface.  In an ideal world, the interface would be changed to fix the problems, however  it has been decided to maintain backwards compatibility instead.   @param <E> the type held in the bag  @since Commons Collections _ClassPathElement_  @version $Revision: 815019 $ $Date: 2009-09-15 07:54:10 +0200 (Tue, 15 Sep 2009) $   @author Chuck Burdick  @author Stephen Colebourne ',directive
' Defines a collection that counts the number of times an object appears in  the collection.  ',non-directive
'<p>  Suppose you have a Bag that contains <code>{a, a, b, c}</code>.  ',non-directive
'Calling {',directive
'@link #_ClassElement_(Object)} on <code>a</code> would return 2, while  calling {',directive
'@link #_ClassElement_()} would return <code>{a, b, c}</code>.  ',non-directive
'<p>  <i>NOTE: This interface violates the {',directive
