@relation 'textMining01.csv-testSet'

@attribute text STRING
@attribute __directive_class__ {directive,non-directive}

@data
'@version $Revision: 815026 $ $Date: 2009-09-15 07:54:23 +0200 (Tue, 15 Sep 2009) $\n\n ',non-directive
'@author Stephen Colebourne\n',non-directive
' Returns true if this map is full and no new elements can be added.\n\n @return <code>true</code> if the map is full\n',non-directive
' Returns true if this map is full and no new elements can be added.\n\n ',non-directive
'@return <code>true</code> if the map is full\n',non-directive
' Gets the maximum size of the map (the bound).\n\n @return the maximum number of elements the map can hold\n',non-directive
' Gets the maximum size of the map (the bound).\n\n ',non-directive
'@return the maximum number of elements the map can hold\n',non-directive
' Defines a simple key value pair.\n <p>\n A Map Entry has considerable additional semantics over and above a simple\n key-value pair. This interface defines the minimum key value, with just the\n two get methods.\n\n @param <K> the type of the key\n @param <V> the type of the value\n @since Commons Collections 3.0\n @version $Revision: 815006 $ $Date: 2009-09-15 07:44:36 +0200 (Tue, 15 Sep 2009) $\n\n @author Stephen Colebourne\n',directive
' Defines a simple key value pair.\n ',non-directive
'<p>\n A Map Entry has considerable additional semantics over and above a simple\n key-value pair. ',directive
'This interface defines the minimum key value, with just the\n two get methods.\n\n ',non-directive
'@param <K> the type of the key\n ',non-directive
'@param <V> the type of the value\n ',non-directive
'@since Commons Collections 3.0\n ',non-directive
'@version $Revision: 815006 $ $Date: 2009-09-15 07:44:36 +0200 (Tue, 15 Sep 2009) $\n\n ',non-directive
'@author Stephen Colebourne\n',non-directive
' Gets the key from the pair.\n\n @return the key \n',non-directive
' Gets the key from the pair.\n\n ',non-directive
'@return the key \n',non-directive
' Gets the value from the pair.\n\n @return the value\n',non-directive
' Gets the value from the pair.\n\n ',non-directive
'@return the value\n',non-directive
' The BufferUnderflowException is used when the buffer is already empty.\n <p>\n NOTE: From version 3.0, this exception extends NoSuchElementException.\n\n @since Commons Collections 2.1\n @version $Revision: 956279 $ $Date: 2010-06-19 21:47:48 +0200 (Sat, 19 Jun 2010) $\n\n @author Avalon\n @author Berin Loritsch\n @author Jeff Turner\n @author Paul Jack\n @author Stephen Colebourne\n',directive
' The BufferUnderflowException is used when the buffer is already empty.\n ',non-directive
'<p>\n NOTE: From version 3.0, this exception extends NoSuchElementException.\n\n ',directive
'@since Commons Collections 2.1\n ',non-directive
'@version $Revision: 956279 $ $Date: 2010-06-19 21:47:48 +0200 (Sat, 19 Jun 2010) $\n\n ',non-directive
'@author Avalon\n ',non-directive
'@author Berin Loritsch\n ',non-directive
'@author Jeff Turner\n ',non-directive
'@author Paul Jack\n ',non-directive
'@author Stephen Colebourne\n',non-directive
' Constructs a new <code>BufferUnderflowException</code>.\n',non-directive
' Constructs a new <code>BufferUnderflowException</code>.\n',non-directive
'\n Construct a new <code>BufferUnderflowException</code>.\n \n @param message  the detail message for this exception\n',non-directive
'\n Construct a new <code>BufferUnderflowException</code>.\n \n',non-directive
?,non-directive
