@relation 'textMining01.csv_balanced(randomized)'

@attribute text string
@attribute is_directive {directive,non-directive}

@data
'@return The button labels to used; never <code>null</code>.\n',directive
?,non-directive
'<p>\nYou may also consider using \n{',directive
?,non-directive
'The receiver is shortened to only include\n <code>remaining</code> lines after the split.\n\n ',directive
'@since 3.1\n',non-directive
'\nProvides classes that help communicate proper content for fields in dialogs and wizards.\n',non-directive
'<p>\n A property change event is reported whenever the mapping from\n a symbolic name to a font changes. ',directive
' <p><code>IWizardContainer2</code> is a supplement to \n <code>IWizardContainer</code> that adds a method for updating the size of \n the wizard shell based on the contents of the current page.</p>\n \n <p>The class <code>WizardDialog</code> provides a fully functional \n implementation of this interface which will meet the needs of\n most clients. However, clients are also free to implement this \n interface if <code>WizardDialog</code> does not suit their needs.\n </p>\n \n @see org.eclipse.jface.wizard.IWizardContainer\n @since 3.0\n',non-directive
' A change region describes a contiguous range of lines that was changed in the same revision of a\n document. Once it is adjusted to diff information, the originally contiguous range may be split\n into several ranges or even be empty.\n\n @since 3.2\n',directive
'@return the composite for the note\n',non-directive
' The <code>ColorSelector</code> is a wrapper for a button that displays a\n selected <code>Color</code> and allows the user to change the selection.\n',non-directive
' Returns the text area.\n \n',non-directive
'@exception NumberFormatException\n                if the string value does not contain a parsable number.\n ',directive
' A thread listener is an object that is interested in receiving notifications\n of thread changes.  ',non-directive
' Generates layout data to the given control, given the number of cells\n spanned by the control. Attaches a GridData to the control. This method \n allows generated layout data to be used with controls that span multiple cells. \n <p>\n The generated layout data is the same as what would be generated by \n GridLayoutFactory.generateLayout, except that the span is configurable\n </p>  \n \n @see GridLayoutFactory#generateLayout(org.eclipse.swt.widgets.Composite)\n @param theControl\n @param hSpan number of columns spanned by the control\n @param vSpan number of rows spanned by the control\n @since 3.3\n',non-directive
'Has no affect if the listener is not registered.\n\n ',directive
'<p>\n The class <code>WizardPage</code> provides an abstract implementation\n of this interface. ',directive
?,non-directive
' Installs this validator for the given context information.\n\n @param info the context information which this validator should check\n @param contentAssistSubjectControl the content assist subject control\n @param offset the document offset for which the information\n           has been computed\n',directive
'@param selection the selection to delete\n ',non-directive
?,non-directive
'@param in the original String\n ',non-directive
' Attaches the progress monitor part to the given cancel\n component.\n @param cancelComponent the control whose selection will\n trigger a cancel\n',non-directive
' Finds and returns the preference node directly\n below the top at the given path.\n\n ',non-directive
'Reflection allows\nprogrammatic access to information about the fields, methods\nand constructors of loaded classes, and the use of reflected fields,\nmethods, and constructors to operate on their underlying\ncounterparts, within security restrictions.\n',directive
' Returns <code>true</code> if <code>selection</code> extends to two or more lines,\n <code>false</code> otherwise.\n \n @param selection the selection\n @return <code>true</code> if <code>selection</code> extends to two or more lines,\n         <code>false</code> otherwise\n @throws BadLocationException if <code>selection</code> is not valid regarding the target\n             document\n',directive
'@param value\n            the value to be associated with the <code>key</code>\n',non-directive
'<p>In general terms, creating a viewer involves the following steps:\n<ul>\n',directive
' Returns the font descriptor for the font with the given symbolic\n font name. ',non-directive
' Returns the Color described by this descriptor.\n \n @param device SWT device on which to allocate the Color\n @return a newly allocated SWT Color object (never null)\n @throws DeviceResourceException if unable to allocate the Color\n',directive
'<p>\n The generated layout data is the same as what would be generated by \n GridLayoutFactory.generateLayout, except that the span is configurable\n </p>  \n \n ',directive
?,non-directive
?,non-directive
'If null is passed the part uses its default layout.\n ',directive
'\n\nProvides classes for reading and writing the JAR (Java ARchive) file\nformat, which is based on the standard ZIP file format with an\noptional manifest file.  The manifest stores meta-information about the\nJAR file contents and is also used for signing JAR files.\n\n\n<h2>Package Specification</h2>\n\nThe <code>java.util.jar</code> package is based on the following specifications:\n<ul>\n  <li><b>Info-ZIP file format</b> - The JAR format is based on the Info-ZIP \n      file format. See \n      <a href=\"../zip/package-summary.html#package_description\">java.util.zip\n      package description.</a> <p>\n      In JAR files, all file names must be encoded in the UTF-8 encoding. \n<p>\n  <li><a href=\"../../../../technotes/guides/jar/jar.html\">\n      Manifest and Signature Specification</a> - The manifest format specification.\n</ul>\n\n<!--\n<h2>Related Documentation</h2>\n\nFor overviews, tutorials, examples, guides, and tool documentation, please see:\n<ul>\n  <li><a href=\"\">##### REFER TO NON-SPEC DOCUMENTATION HERE #####</a>\n</ul>\n-->\n\n@since 1.2\n',directive
'Equivalent to <code>String.valueOf(value)</code>.\n\n ',directive
'The given size takes precedence over computed\n sizes.\n \n',directive
'</p>\n\n ',non-directive
' Returns the currently selected page in the dialog.\n \n @return the selected page in the dialog or <code>null</code> if none is\n         selected. The type may be domain specific. In \n         the JFace provided dialogs this will be an instance of \n         <code>IDialogPage</code>. \n',directive
' Gets a button in this dialog\'s button bar.\n \n',non-directive
' The Next button has been pressed.\n',non-directive
'@link\njava.util.concurrent.BlockingDeque} interface extends\n<tt>BlockingQueue</tt> to support both FIFO and LIFO (stack-based)\noperations. ',directive
' Constant for an info message (value 1).\n',non-directive
' Sets the background color.\n\n @param background the background color, <code>null</code> for the platform\'s list\n        background\n',non-directive
'These proposals appear when the defined\nassist keystroke is invoked.  ',directive
'@param newMessage\n            the message, or <code>null</code> to clear the message\n ',directive
'@return the preference page container, or <code>null</code> if this\n   page has yet to be added to a container\n',directive
'@return the image for this node, or <code>null</code>\n   if there is no image for this node\n',directive
?,non-directive
' Creates a new range with the given start offset and length.\n\n @param start the first line of the new range, must be &gt;= 0\n @param length the number of lines included in the new range, must be &gt; 0\n @return a <code>Range</code> with the given start and length\n @throws LineIndexOutOfBoundsException if the parameters violate the invariant of\n         {@link Range}\n',directive
'@throws LineIndexOutOfBoundsException if <code>length</code> &lt;= 0\n',directive
'@since 3.2\n',non-directive
'</p>\n\n ',non-directive
' Identifier for the color used for the foreground of content assist\n popup dialogs.\n \n @since 3.4\n',non-directive
'@param name\n            the name of the preference this field editor works on\n ',non-directive
?,non-directive
'@return the progress monitor\n',non-directive
'Note: this is a class name, not a file name or path.\n',directive
'@param gc the {',non-directive
'<h4>Example</h4>\nSee the Template Editor Example in the <strong>org.eclipse.ui.examples.javaeditor</strong> project.<br>\n',directive
'Note that thes margins will be added to the ones specified by\n {',directive
' Returns the descriptor for JFace\'s standard font. Convenience method\n equivalent to\n \n <pre>\n JFaceResources.getFontRegistry().getDescriptor(JFaceResources.DEFAULT_FONT)\n </pre>\n \n @return the font\n @since 3.3\n',non-directive
'@return the wizard node, or <code>null</code> if no node is selected\n',directive
' Creates a new preference dialog under the control of the given preference\n manager.\n \n',non-directive
'@param dflt the default value\n ',non-directive
' Returns the given string with all whitespace characters removed.\n <p>\n All characters that have codes less than or equal to <code>\'&#92;u0020\'</code> \n (the space character) are considered to be a white space.\n </p>\n\n @param s the source string\n @return the string with all whitespace characters removed\n',non-directive
'@link Range}\n',directive
'<li>Predicated - ensures that only elements that are valid according to a predicate can be added\n',directive
'<LI>Addition of metadata for retrieving SQL type hierarchies\n</UL>\n',directive
'The\n resulting start line must be &gt;= 0.\n\n ',directive
' Sets the name of the preference this field editor operates on.\n <p>\n The ability to change this allows the same field editor object\n to be reused for different preferences.\n </p>\n <p>\n For example: <p>\n <pre>\n \t...\n  editor.setPreferenceName(\"font\");\n \teditor.load();\n </pre>\n </p>\n\n @param name the name of the preference\n',non-directive
'Equivalent to {',directive
' Indentifier for the error image\n',directive
'@param parent the parent component used for checking or <code>null</code> if none\n ',directive
' Called just before the operation is run. Default behaviour is to open or\n create the dialog, based on the setting of <code>getOpenOnRun</code>,\n and increment the nesting depth.\n \n @since 3.0\n',directive
'generateLayout must be called after all the child controls have\n been created. ',directive
?,non-directive
' @see org.eclipse.jface.dialogs.IPageChangeProvider#removePageChangedListener(org.eclipse.jface.dialogs.IPageChangedListener)\n @since 3.1\n',non-directive
'This parameter has no\n            effect if <code>showDialogMenu</code> is <code>false</code>.\n ',directive
'@link Composite}\n ',non-directive
'@param width the width of the text input field in characters,\n  or <code>UNLIMITED</code> for no limit\n ',directive
'The values are in the\n same order as the keys.\n \n',directive
'@link #getControl()} as argument.\n\n ',directive
'It differs from \n the various JFace *Registry classes, which also map symbolic IDs onto resources. ',directive
' Sets the current value of the float-valued preference with the\n given name.\n <p>\n A property change event is reported if the current value of the \n preference actually changes from its previous value. In the event\n object, the property name is the name of the preference, and the\n old and new values are wrapped as objects.\n </p>\n <p>\n Note that the preferred way of re-initializing a preference to its\n default value is to call <code>setToDefault</code>.\n </p>\n\n @param name the name of the preference\n @param value the new current value of the preference\n',directive
'@param start the first line of the new range, must be &gt;= 0\n ',directive
' Sets the hover enrich mode. ',non-directive
'<p>\n The {',directive
'@param newErrorMessage\n            the newErrorMessage to display or <code>null</code>\n',directive
'<p>\nThe following implementations are provided in the package:\n<ul>\n',non-directive
'@link org.apache.commons.collections.OrderedBidiMap OrderedBidiMap} and \n{',non-directive
'Return\n <code>null</code> if one cannot be found.\n \n',directive
